Category,Source,Target,Original requirement,New requirement,Notes
Friendship,Pichu,Pikachu,High friendship,Level 20,None
Friendship,Cleffa,Clefairy,High friendship,Level 20,None
Friendship,Igglybuff,Jigglypuff,High friendship,Level 20,None
Friendship,Togepi,Togetic,High friendship,Level 20,None
Friendship,Azurill,Marill,High friendship,Level 20,None
Friendship,Budew,Roselia,High friendship during the day,Level 20,Clock restriction removed
Friendship,Chingling,Chimecho,High friendship at night,Level 20,Clock restriction removed
Friendship,Munchlax,Snorlax,High friendship,Level 20,None
Friendship,Golbat,Crobat,High friendship,Level 30,None
Friendship,Alolan Meowth,Alolan Persian,High friendship,Level 30,None
Friendship and move,Eevee,Sylveon,High friendship while knowing a Fairy-type move,Shiny Stone,Player-controlled route
Friendship and clock,Eevee,Espeon,High friendship during the day,Sun Stone,Player-controlled route
Friendship and clock,Eevee,Umbreon,High friendship at night,Moon Stone,Player-controlled route
Friendship,Buneary,Lopunny,High friendship,Level 30,None
Friendship,Riolu,Lucario,High friendship during the day,Level 30,Clock restriction removed
Friendship,Woobat,Swoobat,High friendship,Level 30,None
Friendship,Swadloon,Leavanny,High friendship,Level 30,None
Friendship,Snom,Frosmoth,High friendship at night,Level 30,Clock restriction removed
Friendship,Chansey,Blissey,High friendship,Level 40,None
Friendship,Type: Null,Silvally,High friendship,Level 40,None
Clock,Alolan Rattata,Alolan Raticate,Level 20 at night,Level 20,Clock restriction removed
Clock and region,Cubone,Marowak,Level 28 outside Alola,Level 28,Ordinary default
Clock and region,Cubone,Alolan Marowak,Level 28 at night in Alola,Fire Stone,Player-controlled alternate
Held item and clock,Happiny,Chansey,Oval Stone during the day,Shiny Stone,Special item and clock restriction removed
Held item and clock,Gligar,Gliscor,Razor Fang at night,Moon Stone,Special item and clock restriction removed
Held item and clock,Sneasel,Weavile,Razor Claw at night,Dusk Stone,Special item and clock restriction removed
Held item and clock,Hisuian Sneasel,Sneasler,Razor Claw during the day,Dawn Stone,Special item and clock restriction removed
Clock,Galarian Linoone,Obstagoon,Level 35 at night,Level 35,Clock restriction removed
Clock,Tyrunt,Tyrantrum,Level 39 during the day,Level 39,Clock restriction removed
Clock,Amaura,Aurorus,Level 39 at night,Level 39,Clock restriction removed
Clock,Yungoos,Gumshoos,Level 20 during the day,Level 20,Clock restriction removed
Clock branch,Rockruff,Midday Lycanroc,Level 25 during the day,Level 25,Ordinary default
Clock branch,Rockruff,Midnight Lycanroc,Level 25 at night,Moon Stone,Player-controlled alternate
Clock branch,Rockruff,Dusk Lycanroc,Level 25 during evening with Own Tempo,Sun Stone,Player-controlled alternate
Clock branch,Own Tempo Rockruff,Midday Lycanroc,Level 25 during the day,Level 25,Ordinary default
Clock branch,Own Tempo Rockruff,Midnight Lycanroc,Level 25 at night,Moon Stone,Player-controlled alternate
Clock branch,Own Tempo Rockruff,Dusk Lycanroc,Level 25 during evening,Sun Stone,Player-controlled alternate
Clock,Fomantis,Lurantis,Level 34 during the day,Level 34,Clock restriction removed
Clock branch,Cosmoem,Solgaleo,Level 53 during the day,Sun Stone,Player-controlled route
Clock branch,Cosmoem,Lunala,Level 53 at night,Moon Stone,Player-controlled route
Clock,Greavard,Houndstone,Level 30 at night,Level 30,Clock restriction removed
Special item clock and region,Ursaring,Ursaluna,Peat Block at night in Hisui,Moon Stone,Special item clock and region restrictions removed
